"Category","Fuel","Segment","Euro Standard","Stock [n]","Mean Activity [km]","Lifetime Cumulative Activity [km]",
"Passenger Cars","Diesel","Medium","Euro 4",0,0,0,
"Passenger Cars","Diesel","Medium","Euro 5",0,0,0,
"Passenger Cars","Diesel","Medium","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Diesel","Medium","Euro 6 d-temp",0,0,0,
"Passenger Cars","Diesel","Medium","Euro 6 d/e",0,0,0,
"Passenger Cars","Diesel","Medium","Euro 7",0,0,0,
"Passenger Cars","Diesel","Large-SUV-Executive","Conventional",0,0,0,
"Passenger Cars","Diesel","Large-SUV-Executive","Euro 1",0,0,0,
"Passenger Cars","Diesel","Large-SUV-Executive","Euro 2",0,0,0,
"Passenger Cars","Diesel","Large-SUV-Executive","Euro 3",0,0,0,
"Passenger Cars","Diesel","Large-SUV-Executive","Euro 4",0,0,0,
"Passenger Cars","Diesel","Large-SUV-Executive","Euro 5",0,0,0,
"Passenger Cars","Diesel","Large-SUV-Executive","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Diesel","Large-SUV-Executive","Euro 6 d-temp",0,0,0,
"Passenger Cars","Diesel","Large-SUV-Executive","Euro 6 d/e",0,0,0,
"Passenger Cars","Diesel","Large-SUV-Executive","Euro 7",0,0,0,
"Passenger Cars","Diesel PHEV","Large-SUV-Executive","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Diesel PHEV","Large-SUV-Executive","Euro 6 d-temp",0,0,0,
"Passenger Cars","Diesel PHEV","Large-SUV-Executive","Euro 6 d/e",0,0,0,
"Passenger Cars","Diesel PHEV","Large-SUV-Executive","Euro 7",0,0,0,
"Passenger Cars","LPG Bifuel","Mini","Euro 4",0,0,0,
"Passenger Cars","LPG Bifuel","Mini","Euro 5",0,0,0,
"Passenger Cars","LPG Bifuel","Mini","Euro 6 a/b/c",0,0,0,
"Passenger Cars","LPG Bifuel","Mini","Euro 6 d-temp",0,0,0,
"Passenger Cars","LPG Bifuel","Mini","Euro 6 d/e",0,0,0,
"Passenger Cars","LPG Bifuel","Mini","Euro 7",0,0,0,
"Passenger Cars","LPG Bifuel","Small","Conventional",0,0,0,
"Passenger Cars","LPG Bifuel","Small","Euro 1",0,0,0,
"Passenger Cars","LPG Bifuel","Small","Euro 2",0,0,0,
"Passenger Cars","LPG Bifuel","Small","Euro 3",0,0,0,
"Passenger Cars","LPG Bifuel","Small","Euro 4",0,0,0,
"Passenger Cars","LPG Bifuel","Small","Euro 5",0,0,0,
"Passenger Cars","LPG Bifuel","Small","Euro 6 a/b/c",0,0,0,
"Passenger Cars","LPG Bifuel","Small","Euro 6 d-temp",0,0,0,
"Passenger Cars","LPG Bifuel","Small","Euro 6 d/e",0,0,0,
"Passenger Cars","LPG Bifuel","Small","Euro 7",0,0,0,
"Passenger Cars","LPG Bifuel","Medium","Conventional",0,0,0,
"Passenger Cars","LPG Bifuel","Medium","Euro 1",0,0,0,
"Passenger Cars","LPG Bifuel","Medium","Euro 2",0,0,0,
"Passenger Cars","LPG Bifuel","Medium","Euro 3",0,0,0,
"Passenger Cars","LPG Bifuel","Medium","Euro 4",0,0,0,
"Passenger Cars","LPG Bifuel","Medium","Euro 5",0,0,0,
"Passenger Cars","LPG Bifuel","Medium","Euro 6 a/b/c",0,0,0,
"Passenger Cars","LPG Bifuel","Medium","Euro 6 d-temp",0,0,0,
"Passenger Cars","LPG Bifuel","Medium","Euro 6 d/e",0,0,0,
"Passenger Cars","LPG Bifuel","Medium","Euro 7",0,0,0,
"Passenger Cars","LPG Bifuel","Large-SUV-Executive","Conventional",0,0,0,
"Passenger Cars","LPG Bifuel","Large-SUV-Executive","Euro 1",0,0,0,
"Passenger Cars","LPG Bifuel","Large-SUV-Executive","Euro 2",0,0,0,
"Passenger Cars","LPG Bifuel","Large-SUV-Executive","Euro 3",0,0,0,
"Passenger Cars","LPG Bifuel","Large-SUV-Executive","Euro 4",0,0,0,
"Passenger Cars","LPG Bifuel","Large-SUV-Executive","Euro 5",0,0,0,
"Passenger Cars","LPG Bifuel","Large-SUV-Executive","Euro 6 a/b/c",0,0,0,
"Passenger Cars","LPG Bifuel","Large-SUV-Executive","Euro 6 d-temp",0,0,0,
"Passenger Cars","LPG Bifuel","Large-SUV-Executive","Euro 6 d/e",0,0,0,
"Passenger Cars","LPG Bifuel","Large-SUV-Executive","Euro 7",0,0,0,
"Passenger Cars","CNG Bifuel","Mini","Euro 4",0,0,0,
"Passenger Cars","CNG Bifuel","Mini","Euro 5",0,0,0,
"Passenger Cars","CNG Bifuel","Mini","Euro 6 a/b/c",0,0,0,
"Passenger Cars","CNG Bifuel","Mini","Euro 6 d-temp",0,0,0,
"Passenger Cars","CNG Bifuel","Mini","Euro 6 d/e",0,0,0,
"Passenger Cars","CNG Bifuel","Mini","Euro 7",0,0,0,
"Passenger Cars","CNG Bifuel","Small","Euro 4",0,0,0,
"Passenger Cars","CNG Bifuel","Small","Euro 5",0,0,0,
"Passenger Cars","CNG Bifuel","Small","Euro 6 a/b/c",0,0,0,
"Passenger Cars","CNG Bifuel","Small","Euro 6 d-temp",0,0,0,
"Passenger Cars","CNG Bifuel","Small","Euro 6 d/e",0,0,0,
"Passenger Cars","CNG Bifuel","Small","Euro 7",0,0,0,
"Passenger Cars","CNG Bifuel","Medium","Euro 4",0,0,0,
"Passenger Cars","CNG Bifuel","Medium","Euro 5",0,0,0,
"Passenger Cars","CNG Bifuel","Medium","Euro 6 a/b/c",0,0,0,
"Passenger Cars","CNG Bifuel","Medium","Euro 6 d-temp",0,0,0,
"Passenger Cars","CNG Bifuel","Medium","Euro 6 d/e",0,0,0,
"Passenger Cars","CNG Bifuel","Medium","Euro 7",0,0,0,
"Passenger Cars","CNG Bifuel","Large-SUV-Executive","Euro 4",0,0,0,
"Passenger Cars","CNG Bifuel","Large-SUV-Executive","Euro 5",0,0,0,
"Passenger Cars","CNG Bifuel","Large-SUV-Executive","Euro 6 a/b/c",0,0,0,
"Passenger Cars","CNG Bifuel","Large-SUV-Executive","Euro 6 d-temp",0,0,0,
"Passenger Cars","CNG Bifuel","Large-SUV-Executive","Euro 6 d/e",0,0,0,
"Passenger Cars","CNG Bifuel","Large-SUV-Executive","Euro 7",0,0,0,
"Passenger Cars","Battery electric","Mini","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Battery electric","Mini","Euro 6 d-temp",0,0,0,
"Passenger Cars","Battery electric","Mini","Euro 6 d/e",0,0,0,
"Passenger Cars","Battery electric","Mini","Euro 7",0,0,0,
"Passenger Cars","Battery electric","Small","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Battery electric","Small","Euro 6 d-temp",0,0,0,
"Passenger Cars","Battery electric","Small","Euro 6 d/e",0,0,0,
"Passenger Cars","Battery electric","Small","Euro 7",0,0,0,
"Passenger Cars","Battery electric","Medium","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Battery electric","Medium","Euro 6 d-temp",0,0,0,
"Passenger Cars","Battery electric","Medium","Euro 6 d/e",0,0,0,
"Passenger Cars","Battery electric","Medium","Euro 7",0,0,0,
"Passenger Cars","Battery electric","Large-SUV-Executive","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Battery electric","Large-SUV-Executive","Euro 6 d-temp",0,0,0,
"Passenger Cars","Battery electric","Large-SUV-Executive","Euro 6 d/e",0,0,0,
"Passenger Cars","Battery electric","Large-SUV-Executive","Euro 7",0,0,0,
"Light Commercial Vehicles","Petrol","N1-I","Conventional",0,0,0,
"Light Commercial Vehicles","Petrol","N1-I","Euro 1",0,0,0,
"Light Commercial Vehicles","Petrol","N1-I","Euro 2",0,0,0,
"Light Commercial Vehicles","Petrol","N1-I","Euro 3",0,0,0,
"Light Commercial Vehicles","Petrol","N1-I","Euro 4",0,0,0,
"Light Commercial Vehicles","Petrol","N1-I","Euro 5",0,0,0,
"Light Commercial Vehicles","Petrol","N1-I","Euro 6 a/b/c",0,0,0,
"Light Commercial Vehicles","Petrol","N1-I","Euro 6 d-temp",0,0,0,
"Light Commercial Vehicles","Petrol","N1-I","Euro 6 d/e",0,0,0,
"Light Commercial Vehicles","Petrol","N1-I","Euro 7",0,0,0,
"Light Commercial Vehicles","Petrol","N1-II","Conventional",0,0,0,
"Light Commercial Vehicles","Petrol","N1-II","Euro 1",0,0,0,
"Light Commercial Vehicles","Petrol","N1-II","Euro 2",0,0,0,
"Light Commercial Vehicles","Petrol","N1-II","Euro 3",0,0,0,
"Light Commercial Vehicles","Petrol","N1-II","Euro 4",0,0,0,
"Light Commercial Vehicles","Petrol","N1-II","Euro 5",0,0,0,
"Light Commercial Vehicles","Petrol","N1-II","Euro 6 a/b/c",0,0,0,
"Light Commercial Vehicles","Petrol","N1-II","Euro 6 d-temp",0,0,0,
"Light Commercial Vehicles","Petrol","N1-II","Euro 6 d/e",0,0,0,
"Light Commercial Vehicles","Petrol","N1-II","Euro 7",0,0,0,
"Light Commercial Vehicles","Petrol","N1-III","Conventional",0,0,0,
"Light Commercial Vehicles","Petrol","N1-III","Euro 1",0,0,0,
"Light Commercial Vehicles","Petrol","N1-III","Euro 2",0,0,0,
"Light Commercial Vehicles","Petrol","N1-III","Euro 3",0,0,0,
"Light Commercial Vehicles","Petrol","N1-III","Euro 4",0,0,0,
"Light Commercial Vehicles","Petrol","N1-III","Euro 5",0,0,0,
"Light Commercial Vehicles","Petrol","N1-III","Euro 6 a/b/c",0,0,0,
"Light Commercial Vehicles","Petrol","N1-III","Euro 6 d-temp",0,0,0,
"Light Commercial Vehicles","Petrol","N1-III","Euro 6 d/e",0,0,0,
"Light Commercial Vehicles","Petrol","N1-III","Euro 7",0,0,0,
"Light Commercial Vehicles","Diesel","N1-I","Conventional",0,0,0,
"Light Commercial Vehicles","Diesel","N1-I","Euro 1",0,0,0,
"Light Commercial Vehicles","Diesel","N1-I","Euro 2",0,0,0,
"Light Commercial Vehicles","Diesel","N1-I","Euro 3",0,0,0,
"Light Commercial Vehicles","Diesel","N1-I","Euro 4",0,0,0,
"Light Commercial Vehicles","Diesel","N1-I","Euro 5",0,0,0,
"Light Commercial Vehicles","Diesel","N1-I","Euro 6 a/b/c",0,0,0,
"Light Commercial Vehicles","Diesel","N1-I","Euro 6 d-temp",0,0,0,
"Light Commercial Vehicles","Diesel","N1-I","Euro 6 d/e",0,0,0,
"Light Commercial Vehicles","Diesel","N1-I","Euro 7",0,0,0,
"Light Commercial Vehicles","Diesel","N1-II","Conventional",0,0,0,
"Light Commercial Vehicles","Diesel","N1-II","Euro 1",0,0,0,
"Light Commercial Vehicles","Diesel","N1-II","Euro 2",0,0,0,
"Light Commercial Vehicles","Diesel","N1-II","Euro 3",0,0,0,
"Light Commercial Vehicles","Diesel","N1-II","Euro 4",0,0,0,
"Light Commercial Vehicles","Diesel","N1-II","Euro 5",0,0,0,
"Light Commercial Vehicles","Diesel","N1-II","Euro 6 a/b/c",0,0,0,
"Light Commercial Vehicles","Diesel","N1-II","Euro 6 d-temp",0,0,0,
"Light Commercial Vehicles","Diesel","N1-II","Euro 6 d/e",0,0,0,
"Light Commercial Vehicles","Diesel","N1-II","Euro 7",0,0,0,
"Light Commercial Vehicles","Diesel","N1-III","Conventional",0,0,0,
"Light Commercial Vehicles","Diesel","N1-III","Euro 1",0,0,0,
"Light Commercial Vehicles","Diesel","N1-III","Euro 2",0,0,0,
"Light Commercial Vehicles","Diesel","N1-III","Euro 3",0,0,0,
"Light Commercial Vehicles","Diesel","N1-III","Euro 4",0,0,0,
"Light Commercial Vehicles","Diesel","N1-III","Euro 5",0,0,0,
"Light Commercial Vehicles","Diesel","N1-III","Euro 6 a/b/c",0,0,0,
"Light Commercial Vehicles","Diesel","N1-III","Euro 6 d-temp",0,0,0,
"Light Commercial Vehicles","Diesel","N1-III","Euro 6 d/e",0,0,0,
"Light Commercial Vehicles","Diesel","N1-III","Euro 7",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-I","Euro 6 a/b/c",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-I","Euro 6 d-temp",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-I","Euro 6 d/e",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-I","Euro 7",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-II","Euro 6 a/b/c",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-II","Euro 6 d-temp",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-II","Euro 6 d/e",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-II","Euro 7",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-III","Euro 6 a/b/c",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-III","Euro 6 d-temp",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-III","Euro 6 d/e",0,0,0,
"Light Commercial Vehicles","Battery electric","N1-III","Euro 7",0,0,0,
"Heavy Duty Trucks","Petrol",">3,5 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid <=7,5 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid <=7,5 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid <=7,5 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid <=7,5 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid <=7,5 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid <=7,5 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid <=7,5 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid <=7,5 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid <=7,5 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 7,5 - 12 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 7,5 - 12 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 7,5 - 12 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 7,5 - 12 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 7,5 - 12 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 7,5 - 12 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 7,5 - 12 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 7,5 - 12 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 7,5 - 12 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 12 - 14 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 12 - 14 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 12 - 14 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 12 - 14 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 12 - 14 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 12 - 14 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 12 - 14 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 12 - 14 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 12 - 14 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 14 - 20 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 14 - 20 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 14 - 20 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 14 - 20 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 14 - 20 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 14 - 20 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 14 - 20 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 14 - 20 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 14 - 20 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 20 - 26 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 20 - 26 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 20 - 26 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 20 - 26 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 20 - 26 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 20 - 26 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 20 - 26 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 20 - 26 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 20 - 26 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 26 - 28 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 26 - 28 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 26 - 28 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 26 - 28 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 26 - 28 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 26 - 28 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 26 - 28 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 26 - 28 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 26 - 28 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 28 - 32 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 28 - 32 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 28 - 32 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 28 - 32 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 28 - 32 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 28 - 32 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 28 - 32 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 28 - 32 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid 28 - 32 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid >32 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid >32 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid >32 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid >32 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid >32 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid >32 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid >32 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid >32 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Rigid >32 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 14 - 20 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 14 - 20 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 14 - 20 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 14 - 20 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 14 - 20 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 14 - 20 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 14 - 20 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 14 - 20 t","Euro VI D/E",0,0,0,
